CurveX,CurveY,Midline1X,Midline1Y,Midline2X,Midline2Y,DistanceAlongMidline,Frame,AbsX,AbsY,MidlineSlope 
0.000000,0.325525,277.000000,521.000000,567.000000,493.000000,0.000000,150.000000,277.000000,520.674475,-0.096552 
7.281355,0.612354,277.000000,521.000000,567.000000,493.000000,7.281355,150.000000,284.247651,519.684619,-0.096552 
14.562709,1.060377,277.000000,521.000000,567.000000,493.000000,14.562709,150.000000,291.495302,518.533568,-0.096552 
21.844064,1.689028,277.000000,521.000000,567.000000,493.000000,21.844064,150.000000,298.742952,517.201890,-0.096552 
29.125418,2.444459,277.000000,521.000000,567.000000,493.000000,29.125418,150.000000,305.990603,515.743432,-0.096552 
36.406773,3.392685,277.000000,521.000000,567.000000,493.000000,36.406773,150.000000,313.238254,514.092179,-0.096552 
43.688128,5.089903,277.000000,521.000000,567.000000,493.000000,43.688128,150.000000,320.485905,511.691933,-0.096552 
50.969482,6.427137,277.000000,521.000000,567.000000,493.000000,50.969482,150.000000,327.733556,509.651672,-0.096552 
58.250837,6.780766,277.000000,521.000000,567.000000,493.000000,58.250837,150.000000,334.981207,508.595015,-0.096552 
65.532192,6.836879,277.000000,521.000000,567.000000,493.000000,65.532192,150.000000,342.228857,507.835874,-0.096552 
72.813546,6.896514,277.000000,521.000000,567.000000,493.000000,72.813546,150.000000,349.476508,507.073212,-0.096552 
80.094901,7.547926,277.000000,521.000000,567.000000,493.000000,80.094901,150.000000,356.724159,505.718773,-0.096552 
87.376255,8.487635,277.000000,521.000000,567.000000,493.000000,87.376255,150.000000,363.971810,504.076037,-0.096552 
94.657610,8.791921,277.000000,521.000000,567.000000,493.000000,94.657610,150.000000,371.219461,503.068723,-0.096552 
101.938965,8.272008,277.000000,521.000000,567.000000,493.000000,101.938965,150.000000,378.467112,502.885609,-0.096552 
109.220319,7.198825,277.000000,521.000000,567.000000,493.000000,109.220319,150.000000,385.714762,503.255765,-0.096552 
116.501674,6.021059,277.000000,521.000000,567.000000,493.000000,116.501674,150.000000,392.962413,503.730504,-0.096552 
123.783028,4.503985,277.000000,521.000000,567.000000,493.000000,123.783028,150.000000,400.210064,504.544550,-0.096552 
131.064383,2.556302,277.000000,521.000000,567.000000,493.000000,131.064383,150.000000,407.457715,505.789206,-0.096552 
138.345738,0.324462,277.000000,521.000000,567.000000,493.000000,138.345738,150.000000,414.705366,507.318018,-0.096552 
145.627092,-2.285313,277.000000,521.000000,567.000000,493.000000,145.627092,150.000000,421.953017,509.224766,-0.096552 
152.908447,-5.145973,277.000000,521.000000,567.000000,493.000000,152.908447,150.000000,429.200667,511.382398,-0.096552 
160.189801,-8.037408,277.000000,521.000000,567.000000,493.000000,160.189801,150.000000,436.448318,513.570807,-0.096552 
167.471156,-10.702534,277.000000,521.000000,567.000000,493.000000,167.471156,150.000000,443.695969,515.532905,-0.096552 
174.752511,-13.000114,277.000000,521.000000,567.000000,493.000000,174.752511,150.000000,450.943620,517.127458,-0.096552 
